Основы тайменеджмента - эффективное управление временем в бизнесе;230687;https://hb.ru-msk.vkcs.cloud/sld-prod-cold/8037db5b-2d6b-4d71-8e02-c970df057513.pptx?X-Amz-Expires=432000&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4BvAAGxVbRSLB347BK9Xyi/20231101/us-east-1/s3/aws4_request&X-Amz-Date=20231101T133254Z&X-Amz-SignedHeaders=host&X-Amz-Signature=b5d546dac81359448fb98e1ef22ee5d7480feb2aa9d9754eee5541c6117af589
Introduction to Practical Cryptography ;999011;https://hb.ru-msk.vkcs.cloud/sld-prod-cold/c4f27207-f34c-4dff-be1c-773ae7f537b0.ppt?X-Amz-Expires=432000&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4BvAAGxVbRSLB347BK9Xyi/20231101/us-east-1/s3/aws4_request&X-Amz-Date=20231101T133254Z&X-Amz-SignedHeaders=host&X-Amz-Signature=bcc8dbf50a6dfa52a56f757907f690aac3fa52218fccf9e5cb13034e41abc2f9
Discover Your Target Audience for the Jumbo Club in Angola;999011;https://hb.ru-msk.vkcs.cloud/sld-prod-cold/72793e0e-1925-451a-a187-b50cc5e0efa8.pptx?X-Amz-Expires=432000&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4BvAAGxVbRSLB347BK9Xyi/20231101/us-east-1/s3/aws4_request&X-Amz-Date=20231101T133254Z&X-Amz-SignedHeaders=host&X-Amz-Signature=40620fb3b80d7d6a016866449189593f723702f71503f4ad43a1306e2373c75e
Россия развивает сотрудничество с Африкой;999011;https://hb.ru-msk.vkcs.cloud/sld-prod-cold/b6ab75cc-774c-4eea-b658-f92f1b022349.pptx?X-Amz-Expires=432000&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4BvAAGxVbRSLB347BK9Xyi/20231101/us-east-1/s3/aws4_request&X-Amz-Date=20231101T133254Z&X-Amz-SignedHeaders=host&X-Amz-Signature=14c32542da2f0cb644f243d6dbcd53b26619a8e3862415257aba4ed6a742a9a2
Economies of Scale, Imperfect Competition,  and International Trade;999011;https://hb.ru-msk.vkcs.cloud/sld-prod-cold/7a154c94-e873-4f7b-b9ec-f3dea5955bbd.ppt?X-Amz-Expires=432000&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4BvAAGxVbRSLB347BK9Xyi/20231101/us-east-1/s3/aws4_request&X-Amz-Date=20231101T133254Z&X-Amz-SignedHeaders=host&X-Amz-Signature=f046f427e04c67f2043c484ff59e8de5e19c21b56ee454bbff7a9687c7cdcd6a
Генерация бизнес-идей;999011;https://hb.ru-msk.vkcs.cloud/sld-prod-cold/64b92096-5bf9-4300-b11e-50216fe692e4.pptx?X-Amz-Expires=432000&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4BvAAGxVbRSLB347BK9Xyi/20231101/us-east-1/s3/aws4_request&X-Amz-Date=20231101T133254Z&X-Amz-SignedHeaders=host&X-Amz-Signature=fcbae54314122ee8049d0c75aed39bf3afdfbfc6a517ad527a7784cbe8ac8c07
Что такое деньги?;999011;https://hb.ru-msk.vkcs.cloud/sld-prod-cold/0cf4945f-8d8d-4b59-bffd-a4a85c279a2c.pptx?X-Amz-Expires=432000&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4BvAAGxVbRSLB347BK9Xyi/20231101/us-east-1/s3/aws4_request&X-Amz-Date=20231101T133254Z&X-Amz-SignedHeaders=host&X-Amz-Signature=a1222f6439f5089f9409d2e32a27b59b3bb9be22442a458d645360abb0460eab
ЭКОНОМИЧЕСКАЯ ОЦЕНКА ИННОВАЦИОННОГО РАЗВИТИЯ РОССИИ;999011;https://hb.ru-msk.vkcs.cloud/sld-prod-cold/8227375a-cd82-44f2-9860-85d4b9fa3114.ppt?X-Amz-Expires=432000&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4BvAAGxVbRSLB347BK9Xyi/20231101/us-east-1/s3/aws4_request&X-Amz-Date=20231101T133254Z&X-Amz-SignedHeaders=host&X-Amz-Signature=8ec34beab9c5e9e902c18b438d587d535aaef22cccc0971bda13d3c084da8e83
 Концепция методологии подготовки отчетов ESG на основе стандартов GRI;999011;https://hb.ru-msk.vkcs.cloud/sld-prod-cold/6c5c7276-830f-4067-b692-339784e30a23.ppt?X-Amz-Expires=432000&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4BvAAGxVbRSLB347BK9Xyi/20231101/us-east-1/s3/aws4_request&X-Amz-Date=20231101T133254Z&X-Amz-SignedHeaders=host&X-Amz-Signature=4527240caa3fef66a8faed0853a957abf9e44b7b465b6269395f9aa70f3a98f2
Economics of LDCs;999011;https://hb.ru-msk.vkcs.cloud/sld-prod-cold/70b6dec4-01a8-4ab5-a8f5-361cfef3c965.ppt?X-Amz-Expires=432000&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=4BvAAGxVbRSLB347BK9Xyi/20231101/us-east-1/s3/aws4_request&X-Amz-Date=20231101T133254Z&X-Amz-SignedHeaders=host&X-Amz-Signature=5387ea3980e11f38904ea709dc501ad11241bee4c285d0879da999f20edbafe2
